EID,Name,Dept,Role,Pay Rate,DOB
2000.0,Michael Thomas,Systems,Engineer,24.09,1990-08-01
2001.0,Michael Davis,Design,Principal Engineer,41.88,1968-01-08
2002.0,Mr. Jeffrey Watson PhD,Systems,Principal Engineer,32.32,1966-04-04
2003.0,Tiffany Long,Stress,Graduate Engineer,14.98,1997-02-20
2004.0,Samantha Bennett,Systems,Senior Engineer,21.72,1979-04-11
2005.0,Ruben Anderson,Stress,Graduate Engineer,11.64,1999-12-09
2006.0,Katie Andrews,Systems,Lead Engineer,31.32,1965-06-22
2007.0,Kerry Lopez,Systems,Graduate Engineer,11.32,1997-03-03
2008.0,Elizabeth Oneal,Design,Engineer,23.22,1991-02-02
2009.0,Virginia Cervantes,Stress,Junior Engineer,16.06,1998-03-18
2010.0,Meghan Davis,Stress,Engineer,20.57,1991-12-11
2011.0,Matthew Cummings,Design,Junior Engineer,18.27,1995-06-16
2012.0,Meredith Jackson,Design,Senior Engineer,27.51,1979-01-05
2013.0,Amber Vargas,Stress,Junior Engineer,13.79,1995-10-12
2014.0,Megan Jones,Design,Lead Engineer,31.45,1971-06-06
2015.0,Elizabeth Lam,Design,Graduate Engineer,12.57,1999-09-22
2016.0,Amanda Levy,Systems,Junior Engineer,15.59,1997-10-07
2017.0,Heather Newman,Stress,Principal Engineer,36.19,1952-11-21
2018.0,Elizabeth Vaughn,Stress,Junior Engineer,15.91,1996-04-05
2019.0,Andrew Smith,Design,Junior Engineer,14.86,1993-09-15
2020.0,Alan Mejia,Design,Graduate Engineer,13.34,1999-07-10
2021.0,Joseph Green,Stress,Engineer,18.91,1993-01-23
2022.0,Sarah Vincent,Design,Graduate Engineer,15.58,1999-12-06
2023.0,Andrew Robbins,Stress,Lead Engineer,29.16,1981-06-25
2024.0,Jennifer Cohen,Systems,Senior Engineer,25.84,1987-06-10
2025.0,Kristopher Ortiz,Systems,Engineer,16.57,1993-06-15
2026.0,Gregory Lopez,Design,Junior Engineer,18.04,1994-02-28
2027.0,Chelsea Rojas,Design,Graduate Engineer,17.33,1997-01-30
2028.0,Tina Walker,Design,Graduate Engineer,14.58,1998-03-31
2029.0,Veronica Carson,Systems,Graduate Engineer,14.48,1999-12-17
2030.0,Jimmy Brown,Stress,Principal Engineer,44.23,1948-07-28
2031.0,Scott Bradford,Systems,Junior Engineer,15.39,1996-12-06
2032.0,Tiffany Riley,Design,Senior Engineer,32.11,1982-02-17
2033.0,Jerry Myers,Design,Engineer,20.46,1988-10-07
2034.0,Michael Martinez,Systems,Junior Engineer,18.07,1997-12-10
2035.0,James Garcia,Design,Lead Engineer,31.86,1959-01-02
2036.0,Gary Green,Systems,Lead Engineer,30.36,1957-03-15
2037.0,Brittany Sanchez,Design,Senior Engineer,28.78,1981-09-02
2038.0,Derrick Lyons,Systems,Lead Engineer,25.33,1961-12-12
2039.0,Rebecca Olson,Systems,Engineer,21.82,1989-07-15
2040.0,Daniel Blair,Stress,Junior Engineer,15.75,1996-09-08
2041.0,Brittany Hudson,Systems,Graduate Engineer,12.92,2000-06-05
2042.0,John Wallace,Systems,Lead Engineer,28.59,1978-03-30
2043.0,Katelyn Dunn,Design,Junior Engineer,20.29,1996-04-15
2044.0,Kelly Andrews,Design,Principal Engineer,40.66,1954-12-01
2045.0,Melissa Barber,Systems,Junior Engineer,17.64,1993-12-16
2046.0,Allison Rodriguez,Stress,Principal Engineer,36.56,1969-05-07
2047.0,Sue Barry,Systems,Graduate Engineer,14.22,1998-08-13
2048.0,Craig Leon,Systems,Graduate Engineer,14.72,2001-01-15
2049.0,Christopher Bolton,Design,Principal Engineer,36.87,1961-11-28
2050.0,Glenn Ramos,Stress,Junior Engineer,16.53,1994-12-01
2051.0,Mr. Frank Cook Jr.,Stress,Lead Engineer,34.08,1965-11-02
2052.0,Jillian Collins,Systems,Principal Engineer,33.25,1954-10-26
2053.0,Joel Brooks,Design,Principal Engineer,39.09,1962-06-07
2054.0,Kevin Rose,Stress,Junior Engineer,17.9,1993-01-23
2055.0,Elizabeth Anderson,Stress,Engineer,18.74,1987-12-22
2056.0,Christopher Mays,Design,Lead Engineer,28.32,1972-09-04
2057.0,Michelle Lopez,Systems,Graduate Engineer,16.85,2000-11-24
2058.0,Joseph Haney,Systems,Graduate Engineer,13.95,1997-07-20
2059.0,Kaylee Anderson,Stress,Junior Engineer,17.52,1996-05-09
2060.0,Peter Scott,Design,Principal Engineer,38.69,1952-11-20
2061.0,Kelly Williams,Systems,Engineer,22.46,1991-07-18
2062.0,Jimmy Ruiz,Design,Engineer,21.31,1992-02-29
2063.0,Alexa Robbins,Stress,Lead Engineer,25.55,1969-01-12
2064.0,Donna Estrada,Stress,Graduate Engineer,13.13,1998-05-25
2065.0,Brandon Leonard,Design,Junior Engineer,15.88,1996-04-10
2066.0,Trevor Howard,Stress,Principal Engineer,34.59,1950-06-12
2067.0,Thomas Davis,Systems,Engineer,24.0,1991-05-18
2068.0,Cathy Fuller,Design,Junior Engineer,19.12,1994-05-24
2069.0,Bryce Marshall,Stress,Senior Engineer,21.61,1977-11-04
2070.0,Angela Shannon,Stress,Lead Engineer,39.36,1959-06-29
2071.0,Dana Hampton,Design,Principal Engineer,31.16,1948-12-25
2072.0,Ariana Johnson,Stress,Graduate Engineer,13.65,2001-11-20
2073.0,Mary Morton,Design,Lead Engineer,41.4,1975-01-04
2074.0,Deanna Sanders,Design,Lead Engineer,26.83,1958-12-27
2075.0,Lori Morris,Design,Senior Engineer,29.47,1987-05-27
2076.0,Mark Atkinson,Design,Graduate Engineer,13.49,2002-04-17
2077.0,Jake Rojas,Systems,Principal Engineer,37.03,1962-09-13
2078.0,Ross Washington,Systems,Senior Engineer,29.19,1977-12-07
2079.0,Sabrina Alexander,Design,Junior Engineer,14.02,1997-07-27
2080.0,Sean Jones,Stress,Junior Engineer,17.4,1993-04-22
2081.0,Bryce Soto,Stress,Lead Engineer,34.24,1961-03-15
2082.0,Mary Li,Design,Engineer,21.87,1990-01-01
2083.0,Phillip Smith,Systems,Graduate Engineer,13.03,1999-04-24
2084.0,James Anderson,Systems,Junior Engineer,18.21,1997-02-04
2085.0,Mary Booth,Systems,Engineer,23.06,1986-12-21
2086.0,Christina Sandoval,Design,Graduate Engineer,13.22,2001-05-24
2087.0,Jessica Hicks,Design,Senior Engineer,28.72,1978-01-10
2088.0,Stephen Flores,Stress,Engineer,21.73,1989-01-20
2089.0,Kimberly Gonzales,Design,Lead Engineer,28.65,1977-07-14
2090.0,Lonnie Brown,Stress,Principal Engineer,31.85,1962-03-08
2091.0,Ryan Ryan,Design,Senior Engineer,25.83,1978-01-31
2092.0,Eric Martinez,Systems,Principal Engineer,36.23,1969-07-25
2093.0,Richard Webster,Stress,Lead Engineer,27.39,1955-05-30
2094.0,Ricky Robinson,Systems,Senior Engineer,28.41,1979-10-03
2095.0,Ian West,Systems,Graduate Engineer,16.11,1997-07-31
2096.0,Jonathan Lopez Jr.,Systems,Senior Engineer,22.59,1984-11-14
2097.0,Christopher Lambert,Design,Principal Engineer,36.04,1956-09-18
2098.0,Mario Garcia,Design,Engineer,20.94,1989-04-29
2099.0,Brian Bean,Design,Lead Engineer,30.56,1969-12-13
2100.0,Jessica Arnold,Design,Engineer,17.73,1990-09-29
2101.0,Paula Guerrero,Design,Principal Engineer,32.66,1960-10-19
2102.0,Shannon Johnson,Stress,Principal Engineer,35.99,1969-02-15
2103.0,Caroline Lee,Systems,Junior Engineer,17.92,1995-08-16
2104.0,Marilyn Moore,Systems,Senior Engineer,24.73,1987-11-02
2105.0,Tamara Riley,Systems,Lead Engineer,37.19,1961-11-06
2106.0,Danielle Edwards,Stress,Lead Engineer,35.01,1973-07-18
2107.0,Alexa Downs,Systems,Senior Engineer,25.5,1980-07-28
2108.0,Michael Anderson,Systems,Engineer,21.94,1987-09-02
