EID,Name,Wk_End,Hours
2000.0,Michael Thomas,2023-08-25,37.0
2100.0,Jessica Arnold,2023-08-25,40.5
2234.0,Pamela Wilkerson,2023-08-25,44.1
2022.0,Sarah Vincent,2023-08-25,37.6
2159.0,Jordan Johnson,2023-08-25,42.8
2142.0,David Smith,2023-08-25,40.0
2038.0,Derrick Lyons,2023-08-25,37.9
2099.0,Brian Bean,2023-08-25,42.5
2186.0,Mr. Lawrence Cortez,2023-08-25,64.7
2209.0,Sarah Payne,2023-08-25,45.1
2215.0,Jesus Cherry,2023-08-25,52.5
2062.0,Jimmy Ruiz,2023-08-25,41.3
2187.0,Katherine Green,2023-08-25,37.3
2004.0,Samantha Bennett,2023-08-25,37.2
2048.0,Craig Leon,2023-08-25,37.4
2097.0,Christopher Lambert,2023-08-25,37.4
2224.0,Michael Hutchinson,2023-08-25,39.6
2023.0,Andrew Robbins,2023-08-25,38.1
2143.0,Christopher Butler,2023-08-25,37.0
2096.0,Jonathan Lopez Jr.,2023-08-25,37.6
2188.0,Janet Davidson,2023-08-25,38.8
2098.0,Mario Garcia,2023-08-25,44.4
2185.0,Virginia Oneal,2023-08-25,37.7
2101.0,Paula Guerrero,2023-08-25,41.8
2021.0,Joseph Green,2023-08-25,46.9
2106.0,Danielle Edwards,2023-08-25,48.7
2182.0,Caitlin Bruce,2023-08-25,37.2
2140.0,Robert Owen,2023-08-25,38.0
2049.0,Christopher Bolton,2023-08-25,37.0
2217.0,Andrew Stephens,2023-08-25,39.0
2105.0,Tamara Riley,2023-08-25,37.5
2210.0,Madison Fuller,2023-08-25,38.9
2060.0,Peter Scott,2023-08-25,37.0
2020.0,Alan Mejia,2023-08-25,37.6
2005.0,Ruben Anderson,2023-08-25,41.1
2104.0,Marilyn Moore,2023-08-25,38.2
2183.0,Jonathan Romero,2023-08-25,47.1
2061.0,Kelly Williams,2023-08-25,39.1
2160.0,April Evans,2023-08-25,39.9
2245.0,Donald Pratt,2023-08-25,42.6
2103.0,Caroline Lee,2023-08-25,37.3
2235.0,Kayla Garcia,2023-08-25,38.8
2102.0,Shannon Johnson,2023-08-25,38.8
2249.0,Jennifer Koch,2023-08-25,40.8
2141.0,Anita Bell,2023-08-25,38.3
2184.0,William Hardin,2023-08-25,48.0
2233.0,David Harrell,2023-08-25,40.4
2095.0,Ian West,2023-08-25,37.7
2024.0,Jennifer Cohen,2023-08-25,37.4
2246.0,Melanie Stevenson,2023-08-25,38.3
2192.0,Connie Miller,2023-08-25,37.3
2065.0,Brandon Leonard,2023-08-25,40.7
2146.0,Monica Nelson,2023-08-25,39.7
2231.0,Brandon Garrett,2023-08-25,37.2
2088.0,Stephen Flores,2023-08-25,58.1
2193.0,Emily Miller,2023-08-25,37.3
2027.0,Chelsea Rojas,2023-08-25,39.3
2066.0,Trevor Howard,2023-08-25,38.7
2087.0,Jessica Hicks,2023-08-25,37.0
2156.0,Daniel Thompson,2023-08-25,38.1
2147.0,Crystal Russo,2023-08-25,37.9
2086.0,Christina Sandoval,2023-08-25,37.5
2194.0,Michelle Merritt,2023-08-25,37.0
2028.0,Tina Walker,2023-08-25,38.0
2047.0,Sue Barry,2023-08-25,43.8
2218.0,Jeffery Boyd,2023-08-25,37.4
2036.0,Gary Green,2023-08-25,38.4
2085.0,Mary Booth,2023-08-25,40.0
2195.0,Christopher Richmond,2023-08-25,37.8
2002.0,Mr. Jeffrey Watson PhD,2023-08-25,37.0
2206.0,Richard Rodriguez,2023-08-25,37.6
2248.0,Angela Byrd,2023-08-25,39.6
2223.0,April Wilson,2023-08-25,38.5
2089.0,Kimberly Gonzales,2023-08-25,48.1
2090.0,Lonnie Brown,2023-08-25,38.5
2158.0,Deborah Mcconnell,2023-08-25,39.3
2144.0,Autumn Mccormick,2023-08-25,38.4
2208.0,Joshua Lewis,2023-08-25,37.3
2063.0,Alexa Robbins,2023-08-25,37.0
2094.0,Ricky Robinson,2023-08-25,37.0
2189.0,John Rios,2023-08-25,37.2
2220.0,Eddie Aguilar,2023-08-25,39.1
2064.0,Donna Estrada,2023-08-25,40.4
2093.0,Richard Webster,2023-08-25,40.5
2190.0,Jennifer Olsen,2023-08-25,43.2
2157.0,Brandon Davis,2023-08-25,37.1
2145.0,Stephen Beck,2023-08-25,37.3
2232.0,Gary Daniel,2023-08-25,38.1
2025.0,Kristopher Ortiz,2023-08-25,38.8
2044.0,Kelly Andrews,2023-08-25,37.3
2092.0,Eric Martinez,2023-08-25,40.5
2037.0,Brittany Sanchez,2023-08-25,37.0
2003.0,Tiffany Long,2023-08-25,37.5
2091.0,Ryan Ryan,2023-08-25,39.1
2191.0,Aaron Turner,2023-08-25,38.3
2026.0,Gregory Lopez,2023-08-25,39.0
2207.0,Caitlyn Roberts,2023-08-25,37.9
2039.0,Rebecca Olson,2023-08-25,37.0
2019.0,Andrew Smith,2023-08-25,38.9
2181.0,Tracy Garrison,2023-08-25,39.7
2124.0,Sheri Perez,2023-08-25,41.9
2012.0,Meredith Jackson,2023-08-25,38.8
2243.0,Alicia Smith,2023-08-25,37.3
2123.0,Dana Patterson,2023-08-25,37.6
2171.0,Nichole Wade,2023-08-25,37.5
2041.0,Brittany Hudson,2023-08-25,37.0
2051.0,Mr. Frank Cook Jr.,2023-08-25,48.7
2216.0,Kevin Johnson,2023-08-25,40.7
2122.0,Alexis Cook,2023-08-25,46.4
2240.0,Jessica George,2023-08-25,45.5
2121.0,Gabrielle Barber,2023-08-25,40.2
2172.0,Lauren Richardson,2023-08-25,39.9
2164.0,Joy Boyd,2023-08-25,42.6
2134.0,Rachel Washington,2023-08-25,39.1
2013.0,Amber Vargas,2023-08-25,37.6
2222.0,Robert Smith,2023-08-25,38.1
2120.0,Brittany Sanchez,2023-08-25,39.6
2221.0,Alison Mcintyre,2023-08-25,40.1
2173.0,David Ochoa,2023-08-25,46.2
2135.0,Megan Glenn,2023-08-25,39.9
2213.0,Jennifer Ross,2023-08-25,38.8
2008.0,Elizabeth Oneal,2023-08-25,37.3
2119.0,Hannah Monroe,2023-08-25,43.0
2170.0,Ronald Sullivan,2023-08-25,38.4
2054.0,Kevin Rose,2023-08-25,38.0
2009.0,Virginia Cervantes,2023-08-25,39.6
2042.0,John Wallace,2023-08-25,38.0
2166.0,Yvette Lewis,2023-08-25,41.7
2131.0,Monique Hudson,2023-08-25,45.5
2130.0,Cynthia Anderson,2023-08-25,43.2
2129.0,Scott Johnson,2023-08-25,42.0
2167.0,Molly Franklin,2023-08-25,39.0
2242.0,Gabriel Green,2023-08-25,37.9
